snapshot_time,sport_key,event_id,event_name,commence_time,market,outcome_name,target_bookmaker,target_odds,target_effective_odds,reference_fair_odds,edge,reference_bookmakers,matchbook_event_id,matchbook_market_id,matchbook_runner_id,best_back_odds,best_back_available,available_at_or_above_target,best_lay_odds,best_lay_available,back_lay_spread_pct,liquidity_status
2026-08-13T15:17:17.370567+00:00,basketball_wnba,adc6dd060846838773f87fb71bbbad5d,New York Liberty v Los Angeles Sparks,2026-08-14T00:00:00+00:00,h2h,Los Angeles Sparks,Matchbook,4.4,4.3320,3.9898,0.0858,"1xBet, 888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betfair, Betsson, Betway, BoyleSports, Coolbet, GTbets, LeoVegas, LeoVegas (SE), MyBookie.ag, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Unibet (NL), Unibet (SE), Unibet (UK)",,,,,0.00,0.00,,0.00,,not_matched
2026-08-13T15:17:17.370567+00:00,soccer_efl_champ,04cd3d29e95a89f25a34447296856443,Middlesbrough v Lincoln City,2026-08-15T14:00:00+00:00,h2h,Lincoln City,Matchbook,10.5,10.3100,9.5698,0.0773,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",33643831113900045,33643831185600045,33643831186700045,10.5,46.06,46.06,11,4.00,0.0465,available
2026-08-13T15:17:17.370567+00:00,basketball_wnba,9a2fa5d20edb2bc7e2ce1298cb3d5348,Connecticut Sun v Atlanta Dream,2026-08-13T23:00:00+00:00,h2h,Connecticut Sun,Matchbook,5.3,5.2140,4.8781,0.0689,"888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betfair, Betsson, Betway, BoyleSports, Coolbet, GTbets, LeoVegas, LeoVegas (SE), MyBookie.ag, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Unibet (NL), Unibet (SE), Unibet (UK)",,,,,0.00,0.00,,0.00,,not_matched
2026-08-13T15:17:17.370567+00:00,soccer_england_league2,66127503f173b1e6465942fcecab886f,Grimsby Town v Exeter City,2026-08-15T14:00:00+00:00,h2h,Exeter City,Matchbook,4.8,4.7240,4.5788,0.0317,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",33684111079000045,33684133502900045,33684133503900045,4.8,5.00,5.00,4.9,4.00,0.0206,available
2026-08-13T15:17:17.370567+00:00,soccer_england_league1,525c528134816634185adb06efa21984,Cambridge United v Wigan Athletic,2026-08-15T14:00:00+00:00,h2h,Wigan Athletic,Matchbook,3.35,3.3030,3.2021,0.0315,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",33643920955100045,33643920959500045,33643920960400045,3.35,2.00,2.00,3.4,270.48,0.0148,available
2026-08-13T15:17:17.370567+00:00,soccer_brazil_serie_b,79c95991840b6a00bd50b9690ab10ce6,Sport Recife v Londrina,2026-08-14T23:30:00+00:00,h2h,Londrina,Matchbook,5.8,5.7040,5.5327,0.0310,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",34044502084100023,34044502088201023,34044502089301023,5.8,7.99,7.99,6.6,2.00,0.1290,available
2026-08-13T15:17:17.370567+00:00,soccer_england_league1,686c758175d584228d6a8cc8ed939a3b,Huddersfield Town v Wimbledon,2026-08-15T14:00:00+00:00,h2h,Wimbledon,Matchbook,5.7,5.6060,5.4479,0.0290,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",33684095097900045,33684095101700045,33684095102600045,5.7,5.00,5.00,6.6,249.34,0.1463,available
2026-08-13T15:17:17.370567+00:00,tennis_atp_canadian_open,e723dde12617d39b432ea4de1747708f,Ben Shelton v Brandon Nakashima,2026-08-14T00:00:00+00:00,h2h,Brandon Nakashima,Matchbook,3.1,3.0580,2.9725,0.0288,"1xBet, 888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34062965761700023,34062965766200023,34062965767600023,3.1,18.34,18.34,3.15,69.58,0.0160,available
2026-08-13T15:17:17.370567+00:00,soccer_portugal_primeira_liga,3b2084eb6f80e2cd731d5b1fd0491cf4,Sporting Lisbon v Vitória SC,2026-08-14T19:15:00+00:00,h2h,Draw,Matchbook,6.8,6.6840,6.5165,0.0257,"888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34026159218800023,34026159225300023,34026159226301023,6.8,51.45,51.45,7,2.00,0.0290,available
2026-08-13T15:17:17.370567+00:00,americanfootball_nfl_preseason,b8226a5dcd40638fec5381628989b923,New York Jets v Tampa Bay Buccaneers,2026-08-14T23:00:00+00:00,h2h,Tampa Bay Buccaneers,Matchbook,3.35,3.3030,3.2413,0.0190,"BetAnything, BetOnline.ag, Betsson, GTbets, LeoVegas, LeoVegas (SE), MyBookie.ag, Nordic Bet, Paddy Power, Pinnacle, Unibet (SE)",,,,,0.00,0.00,,0.00,,not_matched
